SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc72,ng102,ne101,9,12,10,25,-999,-999,2.202965675716478,-999,0.05513954162597656,0.0,136.06795573997624,2035.5880150839998
sc73,ng101,ne101,9,12,10,10,-999,-999,2.0409584644797496,-999,0.27172088623046875,0.0,136.06795573997601,2035.5880150839998
sc73,ng102,ne101,9,12,0,10,-999,-999,2.420000000000001,-999,0.27172088623046875,0.0,136.06795573997601,2035.5880150839998
sc74,ng101,ne101,9,12,10,10,-999,-999,2.10095846447975,-999,0.9435081481933594,0.0,136.06795573997601,2035.5880150839998
sc74,ng102,ne101,9,12,0,20,-999,-999,2.42,-999,0.9435081481933594,0.0,136.06795573997601,2035.5880150839998
sc75,ng101,ne101,9,12,10,10,-999,-999,2.462466455582251,-999,0.3058128356933594,0.0,136.06795573997624,2035.5880150839998
sc75,ng102,ne101,9,12,0,25,-999,-999,1.976,-999,0.3058128356933594,0.0,136.06795573997624,2035.5880150839998
sc76,ng101,ne101,9,12,10,10,-999,-999,3.7875688156382497,-999,0.3920421600341797,0.0,8.234800691496048,2035.5880150839998
sc76,ng102,ne101,9,12,10,10,-999,-999,0.0,-999,0.3920421600341797,0.0,8.234800691496048,2035.5880150839998
sc77,ng101,ne101,9,12,10,10,-999,-999,3.72981881563825,-999,0.43715858459472656,0.0,8.234800691496048,2035.5880150839998
sc77,ng102,ne101,9,12,10,20,-999,-999,0.702,-999,0.43715858459472656,0.0,8.234800691496048,2035.5880150839998
sc78,ng101,ne101,9,12,10,10,-999,-999,1.3675688156382506,-999,0.18449020385742188,0.0,8.234800691489227,2035.5880150839998
sc78,ng102,ne101,9,12,10,25,-999,-999,2.42,-999,0.18449020385742188,0.0,8.234800691489227,2035.5880150839998
sc79,ng101,ne101,9,12,10,20,-999,-999,0.9513639816041545,-999,0.40307044982910156,0.0,136.0679557399203,2035.5880150839998
sc79,ng102,ne101,9,12,0,10,-999,-999,13.499999999999998,-999,0.40307044982910156,0.0,136.0679557399203,2035.5880150839998
sc80,ng101,ne101,9,12,10,20,-999,-999,2.2250630632472417,-999,3.144357681274414,0.0,136.0679557399617,2035.5880150839998
sc80,ng102,ne101,9,12,0,20,-999,-999,2.2250630632472417,-999,3.144357681274414,0.0,136.0679557399617,2035.5880150839998
sc81,ng101,ne101,9,12,10,20,-999,-999,2.2029656757164773,-999,0.06216621398925781,0.0,136.06795573997601,2035.5880150839998
sc81,ng102,ne101,9,12,0,25,-999,-999,2.2029656757164773,-999,0.06216621398925781,0.0,136.06795573997601,2035.5880150839998
sc82,ng101,ne101,9,12,10,20,-999,-999,2.420000000000001,-999,0.8753261566162109,0.0,8.234800691496048,2035.5880150839998
sc82,ng102,ne101,9,12,10,10,-999,-999,1.3675688156382488,-999,0.8753261566162109,0.0,8.234800691496048,2035.5880150839998
sc83,ng101,ne101,9,12,10,20,-999,-999,2.4200000000000004,-999,31.448488235473633,0.0,8.234800691496048,2035.5880150839998
